time,State3Mean,state3STD
0.1061,0.21,0.431161
0.1062,0.21,0.431161
0.1063,0.21,0.431161
0.1064,0.21,0.431161
0.1065,0.21,0.431161
0.1066,0.21,0.431161
0.1067,0.21,0.431161
0.1068,0.21,0.431161
0.1069,0.21,0.431161
0.107,0.21,0.431161
0.1071,0.21,0.431161
0.1072,0.21,0.431161
0.1073,0.21,0.431161
0.1074,0.21,0.431161
0.1075,0.21,0.431161
0.1076,0.21,0.431161
0.1077,0.21,0.431161
0.1078,0.21,0.431161
0.1079,0.21,0.431161
0.108,0.21,0.431161
0.1081,0.21,0.431161
0.1082,0.21,0.431161
0.1083,0.21,0.431161
0.1084,0.21,0.431161
0.1085,0.21,0.431161
0.1086,0.21,0.431161
0.1087,0.21,0.431161
0.1088,0.21,0.431161
0.1089,0.21,0.431161
0.109,0.21,0.431161
0.1091,0.21,0.431161
0.1092,0.21,0.431161
0.1093,0.21,0.431161
0.1094,0.21,0.431161
0.1095,0.21,0.431161
0.1096,0.21,0.431161
0.1097,0.21,0.431161
0.1098,0.21,0.431161
0.1099,0.21,0.431161
0.11,0.21,0.431161
0.1101,0.21,0.431161
0.1102,0.21,0.431161
0.1103,0.21,0.431161
0.1104,0.21,0.431161
0.1105,0.21,0.431161
0.1106,0.21,0.431161
0.1107,0.21,0.431161
0.1108,0.21,0.431161
0.1109,0.21,0.431161
0.111,0.21,0.431161
0.1111,0.21,0.431161
0.1112,0.21,0.431161
0.1113,0.21,0.431161
0.1114,0.21,0.431161
0.1115,0.21,0.431161
0.1116,0.21,0.431161
0.1117,0.21,0.431161
0.1118,0.21,0.431161
0.1119,0.21,0.431161
0.112,0.21,0.431161
0.1121,0.21,0.431161
0.1122,0.21,0.431161
0.1123,0.21,0.431161
0.1124,0.21,0.431161
0.1125,0.21,0.431161
0.1126,0.21,0.431161
0.1127,0.21,0.431161
0.1128,0.21,0.431161
0.1129,0.21,0.431161
0.113,0.21,0.431161
0.1131,0.21,0.431161
0.1132,0.21,0.431161
0.1133,0.21,0.431161
0.1134,0.21,0.431161
0.1135,0.21,0.431161
0.1136,0.21,0.431161
0.1137,0.21,0.431161
0.1138,0.21,0.431161
0.1139,0.21,0.431161
0.114,0.21,0.431161
0.1141,0.21,0.431161
0.1142,0.21,0.431161
0.1143,0.21,0.431161
0.1144,0.21,0.431161
0.1145,0.21,0.431161
0.1146,0.21,0.431161
0.1147,0.21,0.431161
0.1148,0.21,0.431161
0.1149,0.21,0.431161
0.115,0.21,0.431161
0.1151,0.21,0.431161
0.1152,0.21,0.431161
0.1153,0.21,0.431161
0.1154,0.21,0.431161
0.1155,0.21,0.431161
0.1156,0.21,0.431161
0.1157,0.21,0.431161
0.1158,0.21,0.431161
0.1159,0.21,0.431161
0.116,0.21,0.431161
0.1161,0.21,0.431161
0.1162,0.21,0.431161
0.1163,0.21,0.431161
0.1164,0.21,0.431161
0.1165,0.21,0.431161
0.1166,0.21,0.431161
0.1167,0.21,0.431161
0.1168,0.21,0.431161
0.1169,0.21,0.431161
0.117,0.21,0.431161
0.1171,0.21,0.431161
0.1172,0.21,0.431161
0.1173,0.21,0.431161
0.1174,0.21,0.431161
0.1175,0.21,0.431161
0.1176,0.21,0.431161
0.1177,0.21,0.431161
0.1178,0.21,0.431161
0.1179,0.21,0.431161
0.118,0.21,0.431161
0.1181,0.21,0.431161
0.1182,0.21,0.431161
0.1183,0.21,0.431161
0.1184,0.21,0.431161
0.1185,0.21,0.431161
0.1186,0.21,0.431161
0.1187,0.21,0.431161
0.1188,0.21,0.431161
0.1189,0.21,0.431161
0.119,0.21,0.431161
0.1191,0.21,0.431161
0.1192,0.21,0.431161
0.1193,0.21,0.431161
0.1194,0.21,0.431161
0.1195,0.21,0.431161
0.1196,0.21,0.431161
0.1197,0.21,0.431161
0.1198,0.21,0.431161
0.1199,0.21,0.431161
0.12,0.21,0.431161
0.1201,0.21,0.431161
0.1202,0.21,0.431161
0.1203,0.21,0.431161
0.1204,0.21,0.431161
0.1205,0.21,0.431161
0.1206,0.21,0.431161
0.1207,0.21,0.431161
0.1208,0.21,0.431161
0.1209,0.21,0.431161
0.121,0.21,0.431161
0.1211,0.21,0.431161
0.1212,0.21,0.431161
0.1213,0.21,0.431161
0.1214,0.21,0.431161
0.1215,0.21,0.431161
0.1216,0.21,0.431161
0.1217,0.21,0.431161
0.1218,0.21,0.431161
0.1219,0.21,0.431161
0.122,0.21,0.431161
0.1221,0.21,0.431161
0.1222,0.21,0.431161
0.1223,0.21,0.431161
0.1224,0.21,0.431161
0.1225,0.21,0.431161
0.1226,0.21,0.431161
0.1227,0.21,0.431161
0.1228,0.21,0.431161
0.1229,0.21,0.431161
0.123,0.21,0.431161
0.1231,0.21,0.431161
0.1232,0.21,0.431161
0.1233,0.21,0.431161
0.1234,0.21,0.431161
0.1235,0.21,0.431161
0.1236,0.21,0.431161
0.1237,0.21,0.431161
0.1238,0.21,0.431161
0.1239,0.21,0.431161
0.124,0.21,0.431161
0.1241,0.21,0.431161
0.1242,0.21,0.431161
0.1243,0.21,0.431161
0.1244,0.21,0.431161
0.1245,0.21,0.431161
0.1246,0.21,0.431161
0.1247,0.21,0.431161
0.1248,0.21,0.431161
0.1249,0.21,0.431161
0.125,0.21,0.431161
0.1251,0.21,0.431161
0.1252,0.21,0.431161
0.1253,0.21,0.431161
0.1254,0.21,0.431161
0.1255,0.21,0.431161
0.1256,0.21,0.431161
0.1257,0.21,0.431161
0.1258,0.22,0.437721
0.1259,0.22,0.437721
0.126,0.22,0.437721
0.1261,0.22,0.437721
0.1262,0.22,0.437721
0.1263,0.22,0.437721
0.1264,0.22,0.437721
0.1265,0.22,0.437721
0.1266,0.22,0.437721
0.1267,0.22,0.437721
0.1268,0.22,0.437721
0.1269,0.22,0.437721
0.127,0.22,0.437721
0.1271,0.22,0.437721
0.1272,0.22,0.437721
0.1273,0.22,0.437721
0.1274,0.22,0.437721
0.1275,0.22,0.437721
0.1276,0.22,0.437721
0.1277,0.22,0.437721
0.1278,0.22,0.437721
0.1279,0.22,0.437721
0.128,0.22,0.437721
0.1281,0.22,0.437721
0.1282,0.22,0.437721
0.1283,0.22,0.437721
0.1284,0.22,0.437721
0.1285,0.22,0.437721
0.1286,0.22,0.437721
0.1287,0.22,0.437721
0.1288,0.22,0.437721
0.1289,0.22,0.437721
0.129,0.22,0.437721
0.1291,0.22,0.437721
0.1292,0.22,0.437721
0.1293,0.22,0.437721
0.1294,0.22,0.437721
0.1295,0.22,0.437721
0.1296,0.22,0.437721
0.1297,0.22,0.437721
0.1298,0.22,0.437721
0.1299,0.22,0.437721
0.13,0.22,0.437721
0.1301,0.22,0.437721
0.1302,0.22,0.437721
0.1303,0.22,0.437721
0.1304,0.23,0.46594
0.1305,0.23,0.46594
0.1306,0.23,0.46594
0.1307,0.23,0.46594
0.1308,0.23,0.46594
0.1309,0.23,0.46594
0.131,0.23,0.46594
0.1311,0.23,0.46594
0.1312,0.23,0.46594
0.1313,0.23,0.46594
0.1314,0.23,0.46594
0.1315,0.23,0.46594
0.1316,0.23,0.46594
0.1317,0.23,0.46594
0.1318,0.23,0.46594
0.1319,0.23,0.46594
0.132,0.23,0.46594
0.1321,0.23,0.46594
0.1322,0.23,0.46594
0.1323,0.23,0.46594
0.1324,0.23,0.46594
0.1325,0.23,0.46594
0.1326,0.23,0.46594
0.1327,0.23,0.46594
0.1328,0.24,0.471593
0.1329,0.24,0.471593
0.133,0.24,0.471593
0.1331,0.24,0.471593
0.1332,0.24,0.471593
0.1333,0.24,0.471593
0.1334,0.24,0.471593
0.1335,0.24,0.471593
0.1336,0.24,0.471593
0.1337,0.24,0.471593
0.1338,0.24,0.471593
0.1339,0.24,0.471593
0.134,0.24,0.471593
0.1341,0.24,0.471593
0.1342,0.24,0.471593
0.1343,0.24,0.471593
0.1344,0.24,0.471593
0.1345,0.24,0.471593
0.1346,0.24,0.471593
0.1347,0.24,0.471593
0.1348,0.24,0.471593
0.1349,0.24,0.471593
0.135,0.24,0.471593
0.1351,0.24,0.471593
0.1352,0.24,0.471593
0.1353,0.24,0.471593
0.1354,0.24,0.471593
0.1355,0.24,0.471593
0.1356,0.24,0.471593
0.1357,0.24,0.471593
0.1358,0.24,0.471593
0.1359,0.24,0.471593
0.136,0.24,0.471593
0.1361,0.24,0.471593
0.1362,0.24,0.471593
0.1363,0.24,0.471593
0.1364,0.24,0.471593
0.1365,0.24,0.471593
0.1366,0.24,0.471593
0.1367,0.24,0.471593
0.1368,0.24,0.471593
0.1369,0.24,0.471593
0.137,0.24,0.471593
0.1371,0.24,0.471593
0.1372,0.24,0.471593
0.1373,0.24,0.471593
0.1374,0.24,0.471593
0.1375,0.24,0.471593
0.1376,0.24,0.471593
0.1377,0.24,0.471593
0.1378,0.24,0.471593
0.1379,0.24,0.471593
0.138,0.24,0.471593
0.1381,0.24,0.471593
0.1382,0.24,0.471593
0.1383,0.24,0.471593
0.1384,0.24,0.471593
0.1385,0.24,0.471593
0.1386,0.24,0.471593
0.1387,0.24,0.471593
0.1388,0.24,0.471593
0.1389,0.24,0.471593
0.139,0.24,0.471593
0.1391,0.24,0.471593
0.1392,0.24,0.471593
0.1393,0.24,0.471593
0.1394,0.24,0.471593
0.1395,0.24,0.471593
0.1396,0.24,0.471593
0.1397,0.24,0.471593
0.1398,0.24,0.471593
0.1399,0.24,0.471593
0.14,0.24,0.471593
0.1401,0.24,0.471593
0.1402,0.24,0.471593
0.1403,0.24,0.471593
0.1404,0.24,0.471593
0.1405,0.24,0.471593
0.1406,0.24,0.471593
0.1407,0.24,0.471593
0.1408,0.24,0.471593
0.1409,0.24,0.471593
0.141,0.24,0.471593
0.1411,0.24,0.471593
0.1412,0.24,0.471593
0.1413,0.24,0.471593
0.1414,0.24,0.471593
0.1415,0.24,0.471593
0.1416,0.24,0.471593
0.1417,0.24,0.471593
0.1418,0.24,0.471593
0.1419,0.24,0.471593
0.142,0.24,0.471593
0.1421,0.24,0.471593
0.1422,0.24,0.471593
0.1423,0.24,0.471593
0.1424,0.24,0.471593
0.1425,0.24,0.471593
0.1426,0.24,0.471593
0.1427,0.24,0.471593
0.1428,0.24,0.471593
0.1429,0.24,0.471593
0.143,0.24,0.471593
0.1431,0.24,0.471593
0.1432,0.24,0.471593
0.1433,0.24,0.471593
0.1434,0.24,0.471593
0.1435,0.24,0.471593
0.1436,0.24,0.471593
0.1437,0.24,0.471593
0.1438,0.24,0.471593
0.1439,0.24,0.471593
0.144,0.24,0.471593
0.1441,0.24,0.471593
0.1442,0.24,0.471593
0.1443,0.24,0.471593
0.1444,0.24,0.471593
0.1445,0.24,0.471593
0.1446,0.24,0.471593
0.1447,0.24,0.471593
0.1448,0.24,0.471593
0.1449,0.24,0.471593
0.145,0.24,0.471593
0.1451,0.24,0.471593
0.1452,0.24,0.471593
0.1453,0.24,0.471593
0.1454,0.24,0.471593
0.1455,0.24,0.471593
0.1456,0.24,0.471593
0.1457,0.25,0.497494
0.1458,0.25,0.497494
0.1459,0.25,0.497494
0.146,0.25,0.497494
0.1461,0.25,0.497494
0.1462,0.25,0.497494
0.1463,0.25,0.497494
0.1464,0.25,0.497494
0.1465,0.25,0.497494
0.1466,0.25,0.497494
0.1467,0.25,0.497494
0.1468,0.25,0.497494
0.1469,0.25,0.497494
0.147,0.25,0.497494
0.1471,0.25,0.497494
0.1472,0.25,0.497494
0.1473,0.25,0.497494
0.1474,0.25,0.497494
0.1475,0.25,0.497494
0.1476,0.25,0.497494
0.1477,0.25,0.497494
0.1478,0.25,0.497494
0.1479,0.25,0.497494
0.148,0.25,0.497494
0.1481,0.25,0.497494
0.1482,0.25,0.497494
0.1483,0.25,0.497494
0.1484,0.25,0.497494
0.1485,0.25,0.497494
0.1486,0.25,0.497494
0.1487,0.25,0.497494
0.1488,0.25,0.497494
0.1489,0.25,0.497494
0.149,0.25,0.497494
0.1491,0.25,0.497494
0.1492,0.25,0.497494
0.1493,0.25,0.497494
0.1494,0.25,0.497494
0.1495,0.25,0.497494
0.1496,0.25,0.497494
0.1497,0.25,0.497494
0.1498,0.25,0.497494
0.1499,0.25,0.497494
0.15,0.25,0.497494
0.1501,0.25,0.497494
0.1502,0.25,0.497494
0.1503,0.25,0.497494
0.1504,0.25,0.497494
0.1505,0.25,0.497494
0.1506,0.25,0.497494
0.1507,0.25,0.497494
0.1508,0.25,0.497494
0.1509,0.25,0.497494
0.151,0.25,0.497494
0.1511,0.25,0.497494
0.1512,0.25,0.497494
0.1513,0.25,0.497494
0.1514,0.25,0.497494
0.1515,0.25,0.497494
0.1516,0.25,0.497494
0.1517,0.25,0.497494
0.1518,0.25,0.497494
0.1519,0.25,0.497494
0.152,0.25,0.497494
0.1521,0.25,0.497494
0.1522,0.26,0.502394
0.1523,0.26,0.502394
0.1524,0.26,0.502394
0.1525,0.26,0.502394
0.1526,0.26,0.502394
0.1527,0.26,0.502394
0.1528,0.26,0.502394
0.1529,0.26,0.502394
0.153,0.26,0.502394
0.1531,0.26,0.502394
0.1532,0.26,0.502394
0.1533,0.26,0.502394
0.1534,0.26,0.502394
0.1535,0.27,0.50705
0.1536,0.27,0.50705
0.1537,0.27,0.50705
0.1538,0.27,0.50705
0.1539,0.27,0.50705
0.154,0.27,0.50705
0.1541,0.27,0.50705
0.1542,0.27,0.50705
0.1543,0.27,0.50705
0.1544,0.27,0.50705
0.1545,0.27,0.50705
0.1546,0.27,0.50705
0.1547,0.27,0.50705
0.1548,0.27,0.50705
0.1549,0.27,0.50705
0.155,0.27,0.50705
0.1551,0.27,0.50705
0.1552,0.28,0.511468
0.1553,0.28,0.511468
0.1554,0.28,0.511468
0.1555,0.28,0.511468
0.1556,0.28,0.511468
0.1557,0.28,0.511468
0.1558,0.28,0.511468
0.1559,0.28,0.511468
0.156,0.28,0.511468
0.1561,0.29,0.553082
0.1562,0.29,0.553082
0.1563,0.29,0.553082
0.1564,0.29,0.553082
0.1565,0.29,0.553082
0.1566,0.3,0.556776
0.1567,0.3,0.556776
0.1568,0.3,0.556776
0.1569,0.3,0.556776
0.157,0.3,0.556776
0.1571,0.3,0.556776
0.1572,0.3,0.556776
0.1573,0.3,0.556776
0.1574,0.3,0.556776
0.1575,0.3,0.556776
0.1576,0.3,0.556776
0.1577,0.3,0.556776
0.1578,0.3,0.556776
0.1579,0.3,0.556776
0.158,0.3,0.556776
0.1581,0.3,0.556776
0.1582,0.3,0.556776
0.1583,0.3,0.556776
0.1584,0.3,0.556776
0.1585,0.3,0.556776
0.1586,0.3,0.556776
0.1587,0.3,0.556776
0.1588,0.3,0.556776
0.1589,0.3,0.556776
0.159,0.3,0.556776
0.1591,0.3,0.556776
0.1592,0.3,0.556776
0.1593,0.3,0.556776
0.1594,0.3,0.556776
0.1595,0.3,0.556776
0.1596,0.3,0.556776
0.1597,0.3,0.556776
0.1598,0.3,0.556776
0.1599,0.3,0.556776
0.16,0.31,0.560268
0.1601,0.31,0.560268
0.1602,0.31,0.560268
0.1603,0.31,0.560268
0.1604,0.31,0.560268
0.1605,0.31,0.560268
0.1606,0.31,0.560268
0.1607,0.31,0.560268
0.1608,0.31,0.560268
0.1609,0.31,0.560268
0.161,0.31,0.560268
0.1611,0.31,0.560268
0.1612,0.31,0.560268
0.1613,0.31,0.560268
0.1614,0.31,0.560268
0.1615,0.31,0.560268
0.1616,0.31,0.560268
0.1617,0.32,0.56356
0.1618,0.32,0.56356
0.1619,0.32,0.56356
0.162,0.32,0.56356
0.1621,0.32,0.56356
0.1622,0.32,0.56356
0.1623,0.32,0.56356
0.1624,0.32,0.56356
0.1625,0.32,0.56356
0.1626,0.32,0.56356
0.1627,0.32,0.56356
0.1628,0.32,0.56356
0.1629,0.32,0.56356
0.163,0.32,0.56356
0.1631,0.32,0.56356
0.1632,0.32,0.56356
0.1633,0.32,0.56356
0.1634,0.32,0.56356
0.1635,0.32,0.56356
0.1636,0.32,0.56356
0.1637,0.32,0.56356
0.1638,0.32,0.56356
0.1639,0.32,0.56356
0.164,0.32,0.56356
0.1641,0.32,0.56356
0.1642,0.32,0.56356
0.1643,0.32,0.56356
0.1644,0.32,0.56356
0.1645,0.32,0.56356
0.1646,0.32,0.56356
0.1647,0.32,0.56356
0.1648,0.32,0.56356
0.1649,0.32,0.56356
0.165,0.32,0.56356
0.1651,0.32,0.56356
0.1652,0.32,0.56356
0.1653,0.32,0.56356
0.1654,0.32,0.56356
0.1655,0.32,0.56356
0.1656,0.32,0.56356
0.1657,0.32,0.56356
0.1658,0.32,0.56356
0.1659,0.32,0.56356
0.166,0.32,0.56356
0.1661,0.32,0.56356
0.1662,0.32,0.56356
0.1663,0.32,0.56356
0.1664,0.32,0.56356
0.1665,0.32,0.56356
0.1666,0.32,0.56356
0.1667,0.32,0.56356
0.1668,0.32,0.56356
0.1669,0.32,0.56356
0.167,0.32,0.56356
0.1671,0.32,0.56356
0.1672,0.32,0.56356
0.1673,0.32,0.56356
0.1674,0.32,0.56356
0.1675,0.32,0.56356
0.1676,0.32,0.56356
0.1677,0.32,0.56356
0.1678,0.32,0.56356
0.1679,0.32,0.56356
0.168,0.32,0.56356
0.1681,0.32,0.56356
0.1682,0.32,0.56356
0.1683,0.32,0.56356
0.1684,0.32,0.56356
0.1685,0.32,0.56356
0.1686,0.32,0.56356
0.1687,0.32,0.56356
0.1688,0.32,0.56356
0.1689,0.32,0.56356
0.169,0.32,0.56356
0.1691,0.32,0.56356
0.1692,0.32,0.56356
0.1693,0.32,0.56356
0.1694,0.32,0.56356
0.1695,0.32,0.56356
0.1696,0.32,0.56356
0.1697,0.32,0.56356
0.1698,0.32,0.56356
0.1699,0.32,0.56356
0.17,0.32,0.56356
0.1701,0.32,0.56356
0.1702,0.32,0.56356
0.1703,0.32,0.56356
0.1704,0.33,0.566657
0.1705,0.33,0.566657
0.1706,0.33,0.566657
0.1707,0.33,0.566657
0.1708,0.33,0.566657
0.1709,0.33,0.566657
0.171,0.33,0.566657
0.1711,0.33,0.566657
0.1712,0.33,0.566657
0.1713,0.33,0.566657
0.1714,0.33,0.566657
0.1715,0.33,0.566657
0.1716,0.33,0.566657
0.1717,0.33,0.566657
0.1718,0.33,0.566657
0.1719,0.33,0.566657
0.172,0.33,0.566657
0.1721,0.33,0.566657
0.1722,0.33,0.566657
0.1723,0.33,0.566657
0.1724,0.33,0.566657
0.1725,0.33,0.566657
0.1726,0.33,0.566657
0.1727,0.33,0.566657
0.1728,0.33,0.566657
0.1729,0.33,0.566657
0.173,0.33,0.566657
0.1731,0.33,0.566657
0.1732,0.33,0.566657
0.1733,0.34,0.569561
0.1734,0.34,0.569561
0.1735,0.34,0.569561
0.1736,0.34,0.569561
0.1737,0.34,0.569561
0.1738,0.34,0.569561
0.1739,0.34,0.569561
0.174,0.34,0.569561
0.1741,0.34,0.569561
0.1742,0.34,0.569561
0.1743,0.34,0.569561
0.1744,0.34,0.569561
0.1745,0.34,0.569561
0.1746,0.34,0.569561
0.1747,0.34,0.569561
0.1748,0.34,0.569561
0.1749,0.34,0.569561
0.175,0.34,0.569561
0.1751,0.34,0.569561
0.1752,0.34,0.569561
0.1753,0.34,0.569561
0.1754,0.34,0.569561
0.1755,0.35,0.589491
0.1756,0.35,0.589491
0.1757,0.35,0.589491
0.1758,0.35,0.589491
0.1759,0.35,0.589491
0.176,0.35,0.589491
0.1761,0.35,0.589491
0.1762,0.35,0.589491
0.1763,0.35,0.589491
0.1764,0.35,0.589491
0.1765,0.35,0.589491
0.1766,0.35,0.589491
0.1767,0.35,0.589491
0.1768,0.35,0.589491
0.1769,0.35,0.589491
0.177,0.35,0.589491
0.1771,0.35,0.589491
0.1772,0.35,0.589491
0.1773,0.35,0.589491
0.1774,0.35,0.589491
0.1775,0.35,0.589491
0.1776,0.35,0.589491
0.1777,0.36,0.608605
0.1778,0.36,0.608605
0.1779,0.36,0.608605
0.178,0.36,0.608605
0.1781,0.36,0.608605
0.1782,0.36,0.608605
0.1783,0.36,0.608605
0.1784,0.36,0.608605
0.1785,0.36,0.608605
0.1786,0.36,0.608605
0.1787,0.36,0.608605
0.1788,0.36,0.608605
0.1789,0.36,0.608605
0.179,0.36,0.608605
0.1791,0.36,0.608605
0.1792,0.36,0.608605
0.1793,0.36,0.608605
0.1794,0.36,0.608605
0.1795,0.36,0.608605
0.1796,0.36,0.608605
0.1797,0.36,0.608605
0.1798,0.36,0.608605
0.1799,0.36,0.608605
0.18,0.36,0.608605
0.1801,0.36,0.608605
0.1802,0.36,0.608605
0.1803,0.36,0.608605
0.1804,0.36,0.608605
0.1805,0.36,0.608605
0.1806,0.36,0.608605
0.1807,0.36,0.608605
0.1808,0.36,0.608605
0.1809,0.36,0.608605
0.181,0.36,0.608605
0.1811,0.36,0.608605
0.1812,0.36,0.608605
0.1813,0.36,0.608605
0.1814,0.36,0.608605
0.1815,0.36,0.608605
0.1816,0.36,0.608605
0.1817,0.36,0.608605
0.1818,0.36,0.608605
0.1819,0.36,0.608605
0.182,0.37,0.610819
0.1821,0.37,0.610819
0.1822,0.37,0.610819
0.1823,0.37,0.610819
0.1824,0.37,0.610819
0.1825,0.37,0.610819
0.1826,0.37,0.610819
0.1827,0.37,0.610819
0.1828,0.37,0.610819
0.1829,0.37,0.610819
0.183,0.37,0.610819
0.1831,0.37,0.610819
0.1832,0.37,0.610819
0.1833,0.37,0.610819
0.1834,0.37,0.610819
0.1835,0.37,0.610819
0.1836,0.37,0.610819
0.1837,0.37,0.610819
0.1838,0.37,0.610819
0.1839,0.37,0.610819
0.184,0.37,0.610819
0.1841,0.37,0.610819
0.1842,0.37,0.610819
0.1843,0.37,0.610819
0.1844,0.37,0.610819
0.1845,0.37,0.610819
0.1846,0.37,0.610819
0.1847,0.37,0.610819
0.1848,0.37,0.610819
0.1849,0.37,0.610819
0.185,0.37,0.610819
0.1851,0.37,0.610819
0.1852,0.37,0.610819
0.1853,0.37,0.610819
0.1854,0.37,0.610819
0.1855,0.37,0.610819
0.1856,0.37,0.610819
0.1857,0.37,0.610819
0.1858,0.37,0.610819
0.1859,0.37,0.610819
0.186,0.37,0.610819
0.1861,0.37,0.610819
0.1862,0.37,0.610819
0.1863,0.37,0.610819
0.1864,0.37,0.610819
0.1865,0.37,0.610819
0.1866,0.37,0.610819
0.1867,0.37,0.610819
0.1868,0.37,0.610819
0.1869,0.37,0.610819
0.187,0.37,0.610819
0.1871,0.37,0.610819
0.1872,0.37,0.610819
0.1873,0.37,0.610819
0.1874,0.37,0.610819
0.1875,0.37,0.610819
0.1876,0.37,0.610819
0.1877,0.37,0.610819
0.1878,0.37,0.610819
0.1879,0.37,0.610819
0.188,0.37,0.610819
0.1881,0.37,0.610819
0.1882,0.37,0.610819
0.1883,0.37,0.610819
0.1884,0.37,0.610819
0.1885,0.37,0.610819
0.1886,0.37,0.610819
0.1887,0.37,0.610819
0.1888,0.37,0.610819
0.1889,0.37,0.610819
0.189,0.37,0.610819
0.1891,0.37,0.610819
0.1892,0.37,0.610819
0.1893,0.37,0.610819
0.1894,0.37,0.610819
0.1895,0.37,0.610819
0.1896,0.38,0.612862
0.1897,0.38,0.612862
0.1898,0.38,0.612862
0.1899,0.38,0.612862
0.19,0.38,0.612862
0.1901,0.38,0.612862
0.1902,0.38,0.612862
0.1903,0.38,0.612862
0.1904,0.38,0.612862
0.1905,0.38,0.612862
0.1906,0.38,0.612862
0.1907,0.38,0.612862
0.1908,0.38,0.612862
0.1909,0.38,0.612862
0.191,0.38,0.612862
0.1911,0.38,0.612862
0.1912,0.38,0.612862
0.1913,0.38,0.612862
0.1914,0.38,0.612862
0.1915,0.38,0.612862
0.1916,0.38,0.612862
0.1917,0.38,0.612862
0.1918,0.38,0.612862
0.1919,0.38,0.612862
0.192,0.38,0.612862
0.1921,0.38,0.612862
0.1922,0.38,0.612862
0.1923,0.38,0.612862
0.1924,0.38,0.612862
0.1925,0.38,0.612862
0.1926,0.38,0.612862
0.1927,0.38,0.612862
0.1928,0.38,0.612862
0.1929,0.38,0.612862
0.193,0.38,0.612862
0.1931,0.38,0.612862
0.1932,0.38,0.612862
0.1933,0.38,0.612862
0.1934,0.38,0.612862
0.1935,0.38,0.612862
0.1936,0.38,0.612862
0.1937,0.38,0.612862
0.1938,0.38,0.612862
0.1939,0.38,0.612862
0.194,0.38,0.612862
0.1941,0.38,0.612862
0.1942,0.38,0.612862
0.1943,0.38,0.612862
0.1944,0.38,0.612862
0.1945,0.38,0.612862
0.1946,0.38,0.612862
0.1947,0.38,0.612862
0.1948,0.38,0.612862
0.1949,0.38,0.612862
0.195,0.38,0.612862
0.1951,0.38,0.612862
0.1952,0.38,0.612862
0.1953,0.38,0.612862
0.1954,0.38,0.612862
0.1955,0.38,0.612862
0.1956,0.38,0.612862
0.1957,0.38,0.612862
0.1958,0.38,0.612862
0.1959,0.38,0.612862
0.196,0.38,0.612862
0.1961,0.38,0.612862
0.1962,0.38,0.612862
0.1963,0.38,0.612862
0.1964,0.38,0.612862
0.1965,0.38,0.612862
0.1966,0.38,0.612862
0.1967,0.38,0.612862
0.1968,0.38,0.612862
0.1969,0.38,0.612862
0.197,0.38,0.612862
0.1971,0.38,0.612862
0.1972,0.38,0.612862
0.1973,0.38,0.612862
0.1974,0.38,0.612862
0.1975,0.38,0.612862
0.1976,0.38,0.612862
0.1977,0.38,0.612862
0.1978,0.38,0.612862
0.1979,0.38,0.612862
0.198,0.38,0.612862
0.1981,0.38,0.612862
0.1982,0.38,0.612862
0.1983,0.38,0.612862
0.1984,0.38,0.612862
0.1985,0.38,0.612862
0.1986,0.38,0.612862
0.1987,0.38,0.612862
0.1988,0.38,0.612862
0.1989,0.38,0.612862
0.199,0.38,0.612862
0.1991,0.38,0.612862
0.1992,0.38,0.612862
0.1993,0.38,0.612862
0.1994,0.38,0.612862
0.1995,0.38,0.612862
0.1996,0.38,0.612862
0.1997,0.38,0.612862
0.1998,0.38,0.612862
0.1999,0.38,0.612862
0.2,0.38,0.612862
0.2001,0.38,0.612862
0.2002,0.38,0.612862
0.2003,0.38,0.612862
0.2004,0.38,0.612862
0.2005,0.38,0.612862
0.2006,0.38,0.612862
0.2007,0.38,0.612862
0.2008,0.38,0.612862
0.2009,0.38,0.612862
0.201,0.38,0.612862
0.2011,0.38,0.612862
0.2012,0.38,0.612862
0.2013,0.38,0.612862
0.2014,0.38,0.612862
0.2015,0.38,0.612862
0.2016,0.38,0.612862
0.2017,0.38,0.612862
0.2018,0.38,0.612862
0.2019,0.38,0.612862
0.202,0.38,0.612862
0.2021,0.38,0.612862
0.2022,0.38,0.612862
0.2023,0.38,0.612862
0.2024,0.38,0.612862
0.2025,0.38,0.612862
0.2026,0.38,0.612862
0.2027,0.38,0.612862
0.2028,0.38,0.612862
0.2029,0.38,0.612862
0.203,0.38,0.612862
0.2031,0.38,0.612862
0.2032,0.38,0.612862
0.2033,0.38,0.612862
0.2034,0.38,0.612862
0.2035,0.38,0.612862
0.2036,0.38,0.612862
0.2037,0.38,0.612862
0.2038,0.38,0.612862
0.2039,0.38,0.612862
0.204,0.38,0.612862
0.2041,0.38,0.612862
0.2042,0.38,0.612862
0.2043,0.39,0.614736
0.2044,0.39,0.614736
0.2045,0.39,0.614736
0.2046,0.39,0.614736
0.2047,0.39,0.614736
0.2048,0.39,0.614736
0.2049,0.39,0.614736
0.205,0.39,0.614736
0.2051,0.39,0.614736
0.2052,0.39,0.614736
0.2053,0.39,0.614736
0.2054,0.39,0.614736
0.2055,0.39,0.614736
0.2056,0.39,0.614736
0.2057,0.39,0.614736
0.2058,0.39,0.614736
0.2059,0.39,0.614736
0.206,0.39,0.614736
0.2061,0.39,0.614736
0.2062,0.39,0.614736
0.2063,0.39,0.614736
0.2064,0.39,0.614736
0.2065,0.39,0.614736
0.2066,0.39,0.614736
